Simulation Number,Dipole.photonEnergy,ExitSlit.totalHeight,PG.cFactor,Dipole.numberRays
0,200,0.1,2.25,50000.0
1,200,0.2,2.25,50000.0
2,700,0.1,2.25,50000.0
3,700,0.2,2.25,50000.0
4,1200,0.1,2.25,50000.0
5,1200,0.2,2.25,50000.0
6,1700,0.1,2.25,50000.0
7,1700,0.2,2.25,50000.0
8,2200,0.1,2.25,50000.0
9,2200,0.2,2.25,50000.0
10,2700,0.1,2.25,50000.0
11,2700,0.2,2.25,50000.0
12,3200,0.1,2.25,50000.0
13,3200,0.2,2.25,50000.0
14,3700,0.1,2.25,50000.0
15,3700,0.2,2.25,50000.0
16,4200,0.1,2.25,50000.0
17,4200,0.2,2.25,50000.0
18,4700,0.1,2.25,50000.0
19,4700,0.2,2.25,50000.0
20,5200,0.1,2.25,50000.0
21,5200,0.2,2.25,50000.0
22,5700,0.1,2.25,50000.0
23,5700,0.2,2.25,50000.0
24,6200,0.1,2.25,50000.0
25,6200,0.2,2.25,50000.0
26,6700,0.1,2.25,50000.0
27,6700,0.2,2.25,50000.0
28,7200,0.1,2.25,50000.0
29,7200,0.2,2.25,50000.0
